SATKER;TGL_DIFF;UP;PAGU;REALISASI;PAGU52;REAL52;PAGU53;REAL53;REALGUP
597494;18;19300000;3273605000;1582191703;1333880000;576285600;12000000;0;19300000
402252;5;5000000;199500000;174450000;199500000;174450000;0;0;3400000
111910;6;21000000;5192721000;2627745590;3279949000;1714141760;1044893000;387202019;18273190
98991;10;30000000;5619549000;3153508449;1339370000;879118164;181500000;181325000;27867406
401944;2;30000000;29325014000;3238858460;1076688000;635524418;25475636000;880299093;30000000
406369;5;60000000;7451461000;5458474402;2169547000;1276733718;100000000;100000000;60000000
406402;7;30000000;9523262000;5786865308;5442466000;3193107308;0;0;29639425
641504;26;45000000;27392137000;15915851914;6399705000;2814168680;0;0;45000000
666502;30;38400000;9148750000;4463121265;2577690000;855221000;0;0;36268100
418425;36;20000000;2209540000;1288911129;836436000;464356134;32000000;31975000;18169333
561204;13;36000000;4057077000;2191407767;3158450000;1395899416;0;0;34572440
99003;13;36000000;6090892000;2990155812;1686481000;938379117;77500000;77150000;20154513
652212;14;39000000;4140444000;2740718688;2002774000;1288641455;0;0;38857435
656560;14;24000000;2644398000;1213770350;972493000;275185799;0;0;12137000
498097;28;120000000;3,25157E+11;97720895102;9048000000;1435597850;3,16109E+11;96285297252;112540300
238542;15;120000000;32786632000;15864984843;12286632000;4584907626;690000000;127441776;110780264
665307;16;240000000;44341528000;28453518761;13920948000;7922027979;0;0;422194250
418403;28;6000000;525905000;274990264;163730000;59158907;0;0;5541322
527961;9;25000000;1719478000;933978256;1297015000;608327256;244495000;233730000;17195537
410291;9;90000000;11506971000;5632371086;6164177000;2461778201;162477000;75185300;78958428
641656;9;300000000;75762340000;45345152128;22353253000;10465609693;0;0;280402750
653530;26;70000000;15144714000;4407542549;4492306000;653802053;2308780000;0;69602237
661211;27;5000000;2384931000;1198072012;506470000;237416412;78400000;78400000;5000000
656511;33;25200000;2919158000;1411976545;970241000;217826905;0;0;12643225
99232;21;18000000;331200000;190339340;331200000;190339340;0;0;15080000
418457;26;40000000;8830120000;4594091420;1625890000;656496889;0;0;26151688
683593;5;57000000;15395191000;8407302354;11083905000;5438426266;0;0;55896000
418304;5;240000000;1,5944E+11;60790494477;51227421000;20107484296;1,04427E+11;38406842157;212429487
641621;20;30000000;8310117000;4047279998;4351292000;1794090513;0;0;27600000
406375;11;150000000;24905476000;13835795726;17798052000;9491083070;0;0;145107908
648209;19;120000000;19016950000;3542052899;16384297000;2176737293;1100000000;300510000;119120261
111079;15;50000000;1580686000;648131331;1570236000;637681331;10450000;10450000;25321639
401833;18;20000000;2886183000;1566745797;984940000;492703250;0;0;19048500
505786;19;60000000;15224207000;8020058802;13880567000;7066009082;1343640000;954049720;52516199
402017;21;6000000;73905000;31963750;73905000;31963750;0;0;5782750
675102;28;1850000;1299555000;670298638;433418000;222945580;34000000;34000000;1850000
408820;29;6000000;214073000;120138800;214073000;120138800;0;0;4432000
410574;5;120000000;12933145000;7153145110;6165714000;3691440715;284993000;0;66150000
428233;22;75000000;6499356000;4483703948;4202902000;2684939946;0;0;74911142
109118;27;99900000;22165765000;13581479516;13781814000;8651112338;50000000;31469911;99900000
553104;19;15000000;3204406000;1939964233;723404000;380689000;153000000;151000000;7640000
656617;26;25500000;3167025000;1911264707;797263000;332170864;0;0;24681000
409810;15;72000000;10591423000;5256257654;5386655000;2081283021;61382000;0;65681562
406401;21;72000000;14625943000;7841315448;10753395000;5423057405;0;0;49184110
686250;5;440000000;47306926000;21653421897;34318902000;12682999448;0;0;20000000
683996;8;60000000;17621429000;9290892785;13267582000;6270483666;0;0;59577520
119770;8;300000000;22643393000;15901614712;13075863000;9164909409;109070000;109057500;243804438
683996;6;60000000;17621429000;9290892785;13267582000;6270483666;0;0;34560540
652190;13;45000000;7096438000;2903603029;2397554000;1337745561;2457733000;0;42241120
98970;14;40000000;6857603000;4279822186;2040923000;1321102522;114000000;79238000;39721151
418513;11;20000000;5270384000;2691966097;1028161000;495117797;245238000;129038000;19992000
